gene,score
HHLA2,0.0313078677352793
CDH6,-0.0243919419511654
AKR1B10,-0.0243591004533784
GLA,0.0310196337206437
KLF6,0.0308758018678353
SERPINA5,0.0306853187632527
KIT,-0.0240728335553002
COL6A1,-0.0240364126025094
RUNX1,-0.0239680450161393
LRRTM3,-0.023943883696234
MLPH,-0.0238838383418798
EBF1,-0.0238765004593961
SMAD3,-0.0238644197994435
GPX8,0.0303307008159696
S100A16,-0.0236295180778377
CD14,0.0300876352497758
BMP5,-0.0235471011310802
GAD1,-0.0235347520119566
CHN2,-0.0235019105141696
CA4,-0.0233750188413195
IFITM2,0.0297486437609921
LYZ,-0.0232089321386444
TPST2,-0.0231862920866134
CHODL,-0.0230870517024342
SERPINA6,-0.0230665593237708
RARRES1,-0.0228058855276908
CHI3L1,-0.0227751022161199
CXCL2,0.0287628081494867
PODXL,0.0286774899687086
HLA-DRB5,-0.0224826607589366
CFB,-0.0224612735165222
TMEM236,-0.0224327273641003
SPON1,-0.022405612994228
PI15,-0.0223187217287157
PPP1R1B,-0.0222588553472945
GPR34,-0.0222489223602527
EDN2,-0.0221362590202662
HLA-DQB1,-0.0221346482656972
TMEM204,-0.0221316952152734
GFPT2,0.0281327311021377
PGF,-0.0220346919902433
ADAP2,-0.0219678456717473
SGK1,-0.0219641767305055
S100A14,-0.0218927666070168
VAT1L,-0.0218644889142225
HS3ST2,-0.0218592092184117
HEY1,0.0277806225134894
TLL1,-0.0217426084780124
SLC1A5,0.0276884606279786
THBD,0.0275726879629444
CTSV,-0.0215866337348552
ZEB2,-0.0213528058499332
NEDD9,0.0271400517864817
GSN,0.0270833631019144
TMPRSS3,-0.0212444378557685
TGFA,-0.0211828712330834
RHCG,-0.0211742805414398
GHRL,-0.0210592905560662
BDKRB1,-0.0210584851785533
CIART,-0.0210557111010624
CD38,-0.021027254435792
FCER1G,0.0267092405974819
ANTXR1,-0.0209534281802214
LMO3,-0.0208770963063309
HPGD,-0.0208130240657825
PTPRE,-0.0207500256610046
EPAS1,-0.0206273398477383
IFIT2,-0.0204819244962028
LGALS4,-0.0204383446338612
PDE1A,-0.0203323927717783
ADAMTS9,-0.0203312294488565
GPM6A,-0.0201731070332451
HKDC1,-0.0201216523700779
FGB,0.0255971386407014
CYBB,-0.0200854998769147
RNASE1,-0.020077446103613
SLC1A3,-0.0200335977821004
NPFFR2,0.0253485981109543
AZGP1,-0.0198870191076431
IL18,-0.0198322534495565
CYP17A1,0.0250859139254581
BIRC3,-0.0195593200205909
SERPINI2,-0.0194840619833842
CXCL6,-0.0194806615013133
PDE4B,-0.0194608850134679
CPA4,-0.0194330547523208
LRRC8C,-0.0194223163877662
SLC4A4,-0.019356454419716
CEACAM7,-0.0192868340237292
OLFML2B,-0.0192783328183236
SCRG1,-0.0192661626721329
ADM,0.0244689539785558
NOTCH2,-0.0191782870566316
HBEGF,0.0243442844976019
AGR3,-0.0191032974785958
KLF5,-0.0190807469132596
DERL3,0.0242821208494814
AGR2,-0.0190590017254362
SIGLEC12,-0.0190357352692818
ATF3,-0.0188861140581626
SLC2A2,-0.018773092772767
FRZB,-0.0187548375532526
PID1,-0.0185589518894524
RND3,-0.0185578780527685
GPC3,-0.0184705393556092
ITGA2,0.0234880230215849
BAG3,-0.0184039614962842
ANXA10,-0.0183622608476826
PTPRR,-0.0183291508907246
MMP1,-0.018315817421612
S100A4,-0.0182478972668889
