model,track,split,metric,value
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,Spearman,0.4553279082261292
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,AUC,0.7724704535503633
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,Pearson,0.4031176282793468
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,Spearman,0.2688615585447841
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,AUC,0.6969265829123907
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,Pearson,0.4616020763237464
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,Spearman,0.3470127735854243
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,AUC,0.7355316172813999
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,Pearson,0.4399494211418396
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,Spearman,0.3630919299138335
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,AUC,0.7066644702199856
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,Pearson,0.503329863608979
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,Spearman,0.4311016917927057
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,AUC,0.744722736638719
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,Pearson,0.4506483093033682
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,Spearman,0.3965971499458055
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,AUC,0.7180239773431902
